EicCode;EicDisplayName;EicLongName;EicParent;EicResponsibleParty;EicStatus;MarketParticipantPostalCode;MarketParticipantIsoCountryCode;MarketParticipantVatCode;EicTypeFunctionList;type
18W0000000003S79;CHITC01;CHITAHIENERGY;;18X0000000003MU4;Active;;;;Production Unit;W
18W0000000003SEW;ACSOC01F;ACSOC01F;18W0000000001YAU;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000003SFU;ELBEC01F;ELBEC01F;18W0000000002V58;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000003SGS;ENTXC01F;ENTXC01F;18W0000000003F2L;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000003SHQ;ECOFC01F;ECOFC01F;18W00000000027Q1;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000003SIO;E1CEG;E1CEG;;18XCEG-123456-1F;Active;;;;Production Unit;W
18W0000000003U2D;VIRIC01;VIRGIN ELECTRIC UP;;18X0000000003K2T;Active;;;;Production Unit;W
18W0000000003V62;REMIC01F;REMIC01F;18W000000000369Y;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000003XEH;T1CEG;TERMICA AE 1MW EVM;;18XCEG-123456-1F;Active;;;;Production Unit;W
18W0000000003XZC;JUNED;TJUNEDA;;18XNEXU-12345-1F;Active;;;;Generation Unit;W
18W0000000003Y05;JUNED2;TJUNEDA;;18XNEXU-12345-1F;Active;;;;Generation Unit;W
18W0000000003Y5W;TJUNED;UP JUNEDA MAYOR 5MW;;18XNEXU-12345-1F;Active;;;;Production Unit;W
18W0000000003Y6U;RJUNED;RJUNED;;18XNEXU-12345-1F;Active;;;;Production Unit;W
18W0000000003YI6;VPEL;VENTA PEL COG;;18X18XPELLETSASW;Active;;;;Production Unit;W
18W00000000041U3;ALUZC01;AHORRELUZ;;18X0000000002ONG;Active;;;;Production Unit;W
18W000000000442D;KILVC01F;KILVC01F;18W0000000003A3Y;10XES-REE------E;Active;;;;Generation Unit;W
18W00000000044MA;TESLC01;TESLACARD;;18X0000000002M6J;Active;;;;Production Unit;W
18W0000000004562;MASIC01;MAS INTELIGENCIA UNIDAD DE PROGRAMACION;;18XMASINTELIGEN8;Active;;;;Production Unit;W
18W00000000045SW;NREDC01;NREDC01;;18X0000000000X5X;Active;;;;Production Unit;W
18W00000000046WL;NREDC01F;NREDC01F;18W00000000045SW;10XES-REE------E;Active;;;;Generation Unit;W
18W00000000047YE;TALEC01;TALARN_UNIDAD_PROGRAMACION;;18X00000000023AV;Active;;;;Production Unit;W
18W00000000047ZC;SALPC01;ELECTRICA_SALAS_UP;;18X00000000023BT;Active;;;;Production Unit;W
18W0000000004813;ECNOC01;ECNOC01 UP;;18X0000000003DII;Active;;;;Production Unit;W
18W00000000048SN;ELCOC01F;ELCOC01F;18WELCOC01-123-Z;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000004A7M;APRIC01;AUSARTA PRIMA COMPRA;;18X0000000003DYN;Active;;;;Production Unit;W
18W0000000004AQL;VPELF;VPELF;18W0000000003YI6;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000004DIS;TEVIC01F;TEVIC01F;18W0000000003LSP;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000004DJQ;INDCC01F;INDCC01F;18W0000000002W63;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000004DKO;VVESC01F;VVESC01F;18W0000000002NUJ;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000004E4G;ENMANT;UP MANTECA;;18XNEXU-12345-1F;Active;;;;Production Unit;W
18W0000000004E5E;ENLECR;UP LECRIN;;18XNEXU-12345-1F;Active;;;;Production Unit;W
18W0000000004E6C;ENLOMAS;UP EOLICA LAS LOMAS;;18XNEXU-12345-1F;Active;;;;Production Unit;W
18W0000000004E7A;ENJAUF;UP EOLICA JAUFIL;;18XNEXU-12345-1F;Active;;;;Production Unit;W
18W0000000004EMH;CAMG20X;CAMG20X;;18XDETI-12345-1D;Active;;;;Production Unit;W
18W0000000004GCV;COGFUTG;FUTURA GREEN COGENERACION;;18XFUTGR-12345-V;Active;;;;Production Unit;W
18W0000000004GDT;FUTGRZARATAN;FUTURA GREEN COGENERACION ZARATAN;18W0000000004GCV;18XFUTGR-12345-V;Active;;;;Generation Unit;W
18W0000000004GER;ECNOC01F;ECNOC01F;18W0000000004813;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000004GFP;MARIC01F;MARIC01F;18W0000000003GQ7;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000004K6V;KISHC01;KISHOA COMERCIALIZADORA;;18X0000000004GBJ;Active;;;;Production Unit;W
18W0000000004LBI;FONT3;FONT3;;18XEDPRE-12345-3;Active;;;;Generation Unit;W
18W0000000004ME9;TESLC01F;TESLC01F;18W00000000044MA;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000004MY6;GETEC01F;GETEC01F;18WGETEC1-1234-P;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000004NIZ;ELESC01;ELESU_COMPRAS;;18X00000000023US;Active;;;;Production Unit;W
18W0000000004P7E;REGPE3;REGPE3 ZR;;18XECYR-12345-1R;Active;;;;Production Unit;W
18W0000000004REV;APRIC01F;APRIC01F;18W0000000004A7M;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000004RFT;VIVEC01F;VIVEC01F;18W0000000003DJU;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000004RGR;ANTEC01F;ANTEC01F;18W0000000003IEP;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000004RHP;SNGUESA;SANGUESA;;18XWMARK-1234-18;Active;;;;Generation Unit;W
18W0000000004RIN;RSMUNAV;SMURFIT NAVARRA;;18XWMARK-1234-18;Active;;;;Production Unit;W
18W0000000004RND;GRTEC01;GERENTA ENERGIA SL;;18X0000000004QAS;Active;;;;Production Unit;W
18W0000000004RQ7;DIELC01;DIELE PENINSULA;;18X0000000004IJY;Active;;;;Production Unit;W
18W0000000004RYS;DIENC01;DIENER ENERGIA 01;;18X0000000004O3B;Active;;;;Production Unit;W
18W0000000004RZQ;HEGPE3;HEGPE3 ZR;;18XECYR-12345-1R;Active;;;;Production Unit;W
18W0000000004S3D;SANMURO1;SANMURO1;;18XECYR-12345-1R;Active;;;;Generation Unit;W
18W0000000004S4B;CAMG20XF;CAMG20XF;18W0000000004EMH;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000004SCW;GUADA123;GUADA123;;18XECYR-12345-1R;Active;;;;Generation Unit;W
18W0000000004SDU;FEGPE3;FEGPE3 ZR;;18XECYR-12345-1R;Active;;;;Production Unit;W
18W0000000004SNA;SALPC01F;SALPC01F;18W00000000047ZC;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000004T2C;ARASC01F;ARASC01F;18WARASC01-123-Y;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000004T3A;EGECOVE;EGECOVE;;18XVIEE-12345-36;Active;;;;Production Unit;W
18W0000000004U8Y;DXDC01;DXD COMERCIALIZADORA UNIDAD;;18X0000000004SMZ;Active;;;;Production Unit;W
18W0000000004VYG;TALEC01F;TALEC01F;18W00000000047YE;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000004VZE;STAQC01F;STAQC01F;18W0000000002VN9;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000004W07;EGELECD;EGELECD;;18XVIEE-12345-36;Active;;;;Production Unit;W
18W0000000004WFE;RMARKO;RESIDUOS BIOGAS SAN MARKOS;;18XMARKO-12345-4;Active;;;;Production Unit;W
18W0000000004WGC;RINUSA;BIOGAS INUSA;;18XINUSA-12345-O;Active;;;;Production Unit;W
18W0000000004WHA;RURBZA;BIOGAS UTE EBRO;;18XURBZA-12345-X;Active;;;;Production Unit;W
18W0000000004WI8;RURBAS;BIOGAS URBASER;;18XURBAS-12345-A;Active;;;;Production Unit;W
18W0000000004WYD;AUSTC01;AUSTRALIS TECHNOLOGIES COMERCIALIZADORA ELECTRICA;;18X0000000002TZE;Active;;;;Production Unit;W
18W0000000004XI5;HLASJO;LEIRE SAN JOSE ANDUEZA Y OTROS;;18XWMARK-1234-18;Active;;;;Production Unit;W
18W0000000004YMV;RALBAD;RESIDUOS BABCOCK-TECMED;;18X0000000004WE2;Active;;;;Production Unit;W
18W0000000004Z0Z;EALMC01;ALMENAR UNIDAD PROGRAMACION;;18X0000000002CQ9;Active;;;;Production Unit;W
18W0000000004Z1X;HENAC01;HENAC01;;18X0000000004W6I;Active;;;;Production Unit;W
18W0000000004Z6N;LASAC01;UP IBERSOGAS;;18X0000000003B87;Active;;;;Production Unit;W
18W0000000004ZQK;CAMPO01;CAMPOLARA - VELA;18WF1CEG-12345-X;18XCEG-123456-1F;Active;;;;Generation Unit;W
18W0000000004ZRI;LUPI01;DIVERSIA SOLAR;18WF1CEG-12345-X;18XCEG-123456-1F;Active;;;;Generation Unit;W
18W0000000004ZSG;VILLA01;VILLANUEVA COSOLAR;18WF1CEG-12345-X;18XCEG-123456-1F;Active;;;;Generation Unit;W
18W0000000004ZTE;MEJO01;FV. LA GAMONOSA;18WF1CEG-12345-X;18XCEG-123456-1F;Active;;;;Generation Unit;W
18W0000000004ZUC;LLEI01;CRUANORNA;18WF1CEG-12345-X;18XCEG-123456-1F;Active;;;;Generation Unit;W
18W0000000004ZVA;LLEI02;CRUANORNA;18WF1CEG-12345-X;18XCEG-123456-1F;Active;;;;Generation Unit;W
18W0000000004ZX6;3PINOS;VELA ENERGY 8;18WF1CEG-12345-X;18XCEG-123456-1F;Active;;;;Generation Unit;W
18W0000000004ZY4;WARNER;UNIFIED GROUP;18WF1CEG-12345-X;18XCEG-123456-1F;Active;;;;Generation Unit;W
18W0000000004ZZ2;MESIAS;VELA VILLAMESIAS;18WF1CEG-12345-X;18XCEG-123456-1F;Active;;;;Generation Unit;W
18W00000000050U2;CELSC01;PORTAFOLIO GRUPO CELSA;;18X0000000003VQM;Active;;;;Production Unit;W
18W00000000051KJ;SESAWIN;UP EOLICA;;18XSHELL-1234-3C;Active;;;;Production Unit;W
18W000000000532C;CCPC01;CEPSA COMERCIAL PETROLEO SAU;;18X0000000001366;Active;;;;Production Unit;W
18W00000000053M9;CAMCC01;CAMPO COMPRAS;;18X0000000003HAM;Active;;;;Production Unit;W
18W000000000548Y;CHITC01F;CHITC01F;18W0000000003S79;10XES-REE------E;Active;;;;Generation Unit;W
18W00000000054RX;MASIC01F;MASIC01F;18W0000000004562;10XES-REE------E;Active;;;;Generation Unit;W
18W00000000056HA;TGYEC01;TGYEC01;;18X00000000050WL;Active;;;;Production Unit;W
18W00000000056YD;TIRCC01;SOCIETAT MUNICIPAL DE COMERCIALITZACIO ELECTRICA DE TIRVIA SL.U.;;18X0000000004GUI;Active;;;;Production Unit;W
18W00000000056ZB;ENDEC01;ENDEC01;;18X0000000002JEC;Active;;;;Production Unit;W
18W0000000005704;TENDC01;TENDC01;;18X0000000002JY9;Active;;;;Production Unit;W
18W0000000005712;ENDPC01;ENDPC01;;18X0000000002SAU;Active;;;;Production Unit;W
18W00000000057J3;ZERC01F;ZERC01F;18W0000000002ZI7;10XES-REE------E;Active;;;;Generation Unit;W
18W000000000582Y;BYDETIC;DETIC BIOGS;;18XDETI-12345-1D;Active;;;;Production Unit;W
18W00000000058DC;VVINAS;VIRGENVINAS;;18XGESTE-12345-N;Active;;;;Generation Unit;W
18W00000000058EA;MSUSO;MLNOSUSO;;18XGESTE-12345-N;Active;;;;Generation Unit;W
18W00000000058F8;BEBRIN;CHBEBERIN;;18XGESTE-12345-N;Active;;;;Generation Unit;W
18W00000000058G6;VLLNGO;VILALLONGO;;18XGESTE-12345-N;Active;;;;Generation Unit;W
18W00000000058H4;MPUNTE;MLNOPUENTE;;18XGESTE-12345-N;Active;;;;Generation Unit;W
18W00000000058I2;HIDAGST;HID IDA;;18XGESTE-12345-N;Active;;;;Production Unit;W
18W00000000058NT;TERSC01;TERSA COMPRA PEN;;18XTERSA--123-1S;Active;;;;Production Unit;W
18W000000000596N;VOLSC01;VOLSLLUM;;18X0000000004SL0;Active;;;;Production Unit;W
18W0000000005AAC;RMNEXU;UP BIOMASA;;18XNEXU-12345-1F;Active;;;;Production Unit;W
18W0000000005ABA;RSPEC01F;RSPEC01F;18W0000000000I5I;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000005CIR;OHMIC01;UNIDAD BASE DE PROGRAMACIN OHMIO;;18X0000000004RPW;Active;;;;Production Unit;W
18W0000000005CJP;IDACSA;UTE BIOMASA;;18XGESTE-12345-N;Active;;;;Generation Unit;W
18W0000000005CKN;RIDAGST;BIOMASA IDA;;18XGESTE-12345-N;Active;;;;Production Unit;W
18W0000000005CLL;ENUFC01F;ENUFC01F;18W0000000003KM3;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000005D3H;COGENER-ARLANZON;ARLANZON;;18XFUTGR-12345-V;Active;;;;Generation Unit;W
18W0000000005D4F;PONCC01;PONTS COMERCIALITZADORA MUNICIPAL DENERGIA ELECTRICA S.L.U;;18X0000000002NA8;Active;;;;Production Unit;W
18W0000000005DB1;CVICC01;FABRICA PIENSO VIC;;18XVIC-1234567-3;Active;;;;Production Unit;W
18W0000000005DNE;TWART2;UP WARTSILA 2;;18XWARTS-12345-7;Active;;;;Production Unit;W
18W0000000005DOC;WART2;WARTSILA 2;18W0000000005DNE;18XWARTS-12345-7;Active;;;;Generation Unit;W
18W0000000005DR6;R005732;TAHUNA;;18XNEXU-12345-1F;Active;;;;Generation Unit;W
18W0000000005DS4;RE005734;ZORRERAS;;18XNEXU-12345-1F;Active;;;;Generation Unit;W
18W0000000005DU0;ETAHUNA;UP EOLICA TAHUNA;;18XNEXU-12345-1F;Active;;;;Production Unit;W
18W0000000005DVZ;EZORRER;UP EOLICA ZORRERAS;;18XNEXU-12345-1F;Active;;;;Production Unit;W
18W0000000005DWX;T2CEG;TERMICA AE EVM 1MW;;18XCEG-123456-1F;Active;;;;Production Unit;W
18W0000000005E76;LASAC01F;LASAC01F;18W0000000004Z6N;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000005E84;UP_COGF;UP_COGENERACION NO ALTA EFICIENCIA;;18XFUTGR-12345-V;Active;;;;Production Unit;W
18W0000000005EQ5;FEGPE1;FEGPE1;;18XECYR-12345-1R;Active;;;;Production Unit;W
18W0000000005EXS;GRTEC01F;GRTEC01F;18W0000000004RND;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000005FAY;VIMECA;VILLAMECA;;18XECYR-12345-1R;Active;;;;Generation Unit;W
18W0000000005HJA;PLATC01;MATADERO LA PLATA;;18X0000000001VL3;Active;;;;Production Unit;W
18W0000000005I32;EGVREN2;EGVREN2;;18XVIEE-12345-36;Active;;;;Production Unit;W
18W0000000005JSN;EFIDC01;EFIDUERO;;18X0000000004Y3I;Active;;;;Production Unit;W
18W0000000005JUJ;BYDETICF;BYDETICF;18W000000000582Y;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000005KAJ;RMNEXUF;RMNEXUF;18W0000000005AAC;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000005KWC;LUCIC01;COMERCIALIZADORA;;18X0000000004P62;Active;;;;Production Unit;W
18W0000000005KY8;CODOC01;CODOC01;;18X0000000005GY6;Active;;;;Production Unit;W
18W0000000005LE8;URBCC01;URBENER COMERCAIZADADORA;;18XURBEN-12345-F;Active;;;;Production Unit;W
18W0000000005M1V;EBROC;GNERA ENERGÍA Y TECNOLOGÍA, S.L.;18WHPUEYO-1234-5;18XGNRA-12345-15;Active;;;;Generation Unit;W
18W0000000005N3O;CCPC01F;CCPC01F;18W000000000532C;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000005NOJ;VIRIC01F;VIRIC01F;18W0000000003U2D;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000005O6F;SUCAC01;SUCA SOCIEDAD COOPERATIVA;;18X0000000001I6Z;Active;;;;Production Unit;W
18W0000000005OQC;CELSC01F;CELSC01F;18W00000000050U2;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000005PA4;DIELC01F;DIELC01F;18W0000000004RQ7;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000005S2B;EGMEBRO;EGMEBRO;;18XVIEE-12345-36;Active;;;;Production Unit;W
18W0000000005S39;EGMJALO;EGMJALO;;18XVIEE-12345-36;Active;;;;Production Unit;W
18W0000000005SM8;PASERTEX;PASERTEX;18W0000000000S6N;18XENERGYBCOGENE;Active;;;;Generation Unit;W
18W0000000005T60;ALBCC01F;ALBCC01F;18W0000000003Q6H;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000005WMX;ESBUC01;ESTACION AUTOBUSES;;18X0000000005T7L;Active;;;;Production Unit;W
18W0000000005WNV;TSMURES;SMURFIT KAPPA ESPANA;;18XWMARK-1234-18;Active;;;;Production Unit;W
18W0000000005XMU;EYCEC01;EYCEC01;;18X0000000005UAC;Active;;;;Production Unit;W
18W000000000611G;AUSTC01F;AUSTC01F;18W0000000004WYD;10XES-REE------E;Active;;;;Generation Unit;W
18W00000000064BO;TPCOGE;18W00000000064BO;;18XEGLE-12345-1U;Active;;;;Production Unit;W
18W00000000064UN;CMENGI;SMURFIT KAPPA ESPANA S.A.;;18XWMARK-1234-18;Active;;;;Generation Unit;W
18W00000000065FD;OHMIC01F;OHMIC01F;18W0000000005CIR;10XES-REE------E;Active;;;;Generation Unit;W
18W00000000065GB;LUCIC01F;LUCIC01F;18W0000000005KWC;10XES-REE------E;Active;;;;Generation Unit;W
18W00000000065I7;GNFRC01;GAS NATURAL FENOSA RENOVABLES COMERCIALIZACION;;18XGNCE-12345-3F;Active;;;;Production Unit;W
18W00000000066I4;RIVAC01;RIVAS UPROGRAMACION;;18X00000000053OS;Active;;;;Production Unit;W
18W000000000672X;REPEC01;REPSOL PETROLEO;;18XREPP-12345-0T;Active;;;;Production Unit;W
18W00000000069U8;TGYEC01F;TGYEC01F;18W00000000056HA;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000006AFZ;RINRC01;A2 REPRESENTACION;;18XRINGS-12345-2;Active;;;;Production Unit;W
18W0000000006AYY;RINRC01F;RINRC01F;18W0000000006AFZ;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000006C2I;KISHC01F;KISHC01F;18W0000000004K6V;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000006C3G;PLATC01F;PLATC01F;18W0000000005HJA;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000006EWQ;EFONTA;18W0000000006EWQ;;18XEGLE-12345-1U;Active;;;;Production Unit;W
18W0000000006EXO;EPLRC01;EPLUS CONS DIRECTO;;18XEPLUS-12345-6;Active;;;;Production Unit;W
18W0000000006FEM;ROFENV2;GAROFEICA SA;;18XROFEN-12345-9;Active;;;;Production Unit;W
18W0000000006FYJ;VOLSC01F;VOLSC01F;18W000000000596N;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000006FZH;SSERRE;18W0000000006FZH;;18XEGLE-12345-1U;Active;;;;Production Unit;W
18W0000000006GIB;TOT1COG;TOT1COG OTRAS TECNOL;;18XENERGYBCOGENE;Active;;;;Production Unit;W
18W0000000006HM0;PALOC01;CONSUMOPALACIOS;;18XPALAC-12345-H;Active;;;;Production Unit;W
18W0000000006JY7;EDPCOX;SSAA EDP COMERCIALIZADORA;;18XNATGA-1234-3Y;Active;;;;Production Unit;W
18W0000000006KY4;SOLPEX;SOLPEX;;18XNEXU-12345-1F;Active;;;;Generation Unit;W
18W0000000006M3N;AVANC01;AVANGREEN;;18X00000000063QK;Active;;;;Production Unit;W
18W0000000006N6E;IFAVG;AEROGENERADOR;;18X00000000069AY;Active;;;;Production Unit;W
18W0000000006OA3;ENDEC01F;ENDEC01F;18W00000000056ZB;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000006OB1;ENDPC01F;ENDPC01F;18W0000000005712;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000006ODY;HENAC01F;HENAC01F;18W0000000004Z1X;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000006OEW;TENDC01F;TENDC01F;18W0000000005704;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000006OU0;CARDIEL;EL CARDIEL;;18XIBCUR-12345-8;Active;;;;Generation Unit;W
18W0000000006OVZ;TORRECI-II;CH TORRECILLA II;;18XIBCUR-12345-8;Active;;;;Generation Unit;W
18W0000000006PYQ;DXDC01F;DXDC01F;18W0000000004U8Y;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000006Q0H;TERSC01F;TERSC01F;18W00000000058NT;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000006Q2D;CODOC01F;CODOC01F;18W0000000005KY8;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000006R2A;PERIB;FENIE ENERGIA;;18XFENIEENERGIAX;Active;;;;Generation Unit;W
18W0000000006S7Y;PONCC01F;PONCC01F;18W0000000005D4F;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000006S8W;EALMC01F;EALMC01F;18W0000000004Z0Z;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000006S9U;DIENC01F;DIENC01F;18W0000000004RYS;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000006SBQ;HYAME;HYAME;;18XAME-123456-14;Active;;;;Production Unit;W
18W0000000006UEE;EDPCOSA;UP EDPC SERVICIOS AJUSTE;;18XNATGA-1234-3Y;Active;;;;Production Unit;W
18W0000000006UFC;EDPCOR1;UP EDPC EOLICA NO HABILITADA SA;;18XNATGA-1234-3Y;Active;;;;Production Unit;W
18W0000000006UYB;IBGESX;IBGES CONSUMO SERV AUXILIARES;;18XIBGES-12345-4;Active;;;;Production Unit;W
18W0000000006WMT;GNFRC01F;GNFRC01F;18W00000000065I7;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000006XQI;NATUC01;NATUC01;;18X0000000006104;Active;;;;Production Unit;W
18W0000000006XRG;RIVAC01F;RIVAC01F;18W00000000066I4;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000006ZKO;HYAMEF;HYAMEF;18W0000000006SBQ;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000006ZLM;IFAVGF;IFAVGF;18W0000000006N6E;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000006ZNI;SUCAC01F;SUCAC01F;18W0000000005O6F;10XES-REE------E;Active;;;;Generation Unit;W
18W000000000728W;EDPCOXF;EDPCOXF;18W0000000006JY7;10XES-REE------E;Active;;;;Generation Unit;W
18W00000000072QX;TOLEPU;18W00000000072QX;;18XEGLE-12345-1U;Active;;;;Production Unit;W
18W00000000072RV;BIOGASE;BIOGAS ENERGÍA;;18XEGLE-12345-1U;Active;;;;Generation Unit;W
18W00000000073UM;R112578;ALCARREÑAS;;18XNEXU-12345-1F;Active;;;;Generation Unit;W
18W00000000073VK;SESBIO4;SESA BIOGAS4;;18XSHELL-1234-3C;Active;;;;Production Unit;W
18W00000000073WI;SESBIO5;SESABIOGAS5;;18XSHELL-1234-3C;Active;;;;Production Unit;W
18W00000000074Z9;TIGBCL;VERTEX BABILAFUENTE;;18XIGNIS-12345-C;Active;;;;Production Unit;W
18W00000000075I3;REPEC01F;REPEC01F;18W000000000672X;10XES-REE------E;Active;;;;Generation Unit;W
18W00000000076MT;URBCC01F;URBCC01F;18W0000000005LE8;10XES-REE------E;Active;;;;Generation Unit;W
18W00000000076NR;IBGESXF;IBGESXF;18W0000000006UYB;10XES-REE------E;Active;;;;Generation Unit;W
18W00000000077QI;ECABINI;ECABINI;;18XVIEE-12345-36;Active;;;;Production Unit;W
18W00000000077RG;ECAPARR;ECAPARR;;18XVIEE-12345-36;Active;;;;Production Unit;W
18W00000000077SE;EBAND;EBAND;;18XVIEE-12345-36;Active;;;;Production Unit;W
18W00000000077TC;EROBRES;EROBRES;;18XVIEE-12345-36;Active;;;;Production Unit;W
18W00000000077UA;ECORGUE;ECORGUE;;18XVIEE-12345-36;Active;;;;Production Unit;W
18W00000000077V8;ECASARE;ECASARE;;18XVIEE-12345-36;Active;;;;Production Unit;W
18W00000000077W6;ESARCAS;ESARCAS;;18XVIEE-12345-36;Active;;;;Production Unit;W
18W00000000078V5;TTECGA;18W00000000078V5;;18XEGLE-12345-1U;Active;;;;Production Unit;W
18W00000000078W3;COGENGA;COGENGA;;18XEGLE-12345-1U;Active;;;;Generation Unit;W
18W000000000795H;FORZC01;FORZAVSUNAIR;;18X000000000762I;Active;;;;Production Unit;W
18W000000000796F;RE1213;BAIX EBRE;;18XNEXU-12345-1F;Active;;;;Generation Unit;W
18W000000000797D;EPEBRE;UP EOLICA PEBESA;;18XNEXU-12345-1F;Active;;;;Production Unit;W
18W00000000079GW;CEPEC01;COMERCIALIZADORA ELECTRICA PENINSULAR;;18X0000000006X67;Active;;;;Production Unit;W
18W00000000079IS;CELSC02;FERIMETSABADELL;;18X0000000003VQM;Active;;;;Production Unit;W
18W00000000079YX;FXRSPRE;FXRSPRE;;18X0000000000BY4;Active;;;;Production Unit;W
18W00000000079ZV;HXRSPRE;HXRSPRE;;18X0000000000BY4;Active;;;;Production Unit;W
18W0000000007A2K;NATUC01F;NATUC01F;18W0000000006XQI;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000007AJN;FYTERSA;TERSA SOLAR FOTOVOLTAICA;;18XTERSA--123-1S;Active;;;;Production Unit;W
18W0000000007ALJ;EPLRC01F;EPLRC01F;18W0000000006EXO;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000007AMH;RYTERSA;TERSA BIOGAS;;18XTERSA--123-1S;Active;;;;Production Unit;W
18W0000000007ANF;TYTERSA;TERSA TERMICA PVE;;18XTERSA--123-1S;Active;;;;Production Unit;W
18W0000000007AOD;NATWC01;NATURWATIO SLU;;18X00000000072SF;Active;;;;Production Unit;W
18W0000000007APB;ELMOC01;ELMON_COMPRAS;;18X00000000023CR;Active;;;;Production Unit;W
18W0000000007B4D;EEVOLD;EVOLUCION 2000;;18XWMARK-1234-18;Active;;;;Production Unit;W
18W0000000007G22;AVANC01F;AVANC01F;18W0000000006M3N;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000007HQP;CELSC02F;CELSC02F;18W00000000079IS;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000007HRN;EPLXC01;EPLUS CDM 85IEE;;18XEPLUS-12345-6;Active;;;;Production Unit;W
18W0000000007IAH;TGBSC01;TGB SA;;18X0000000006RMU;Active;;;;Production Unit;W
18W0000000007IBF;HAPOC01;HARINAS POLO;;18X0000000007EE7;Active;;;;Production Unit;W
18W0000000007IUE;RUBLA;RUBLA CENTRAL;;18XRUMBL-12345-J;Active;;;;Production Unit;W
18W0000000007IVC;SPINC01;SPINREACT SAU;;18X0000000005ZAY;Active;;;;Production Unit;W
18W0000000007IWA;UMBLA;HIDROELÉCRICA DEL RUMBLAR, S.L.;18W0000000007IUE;18XRUMBL-12345-J;Active;;;;Generation Unit;W
18W0000000007IY6;BOBIC01;BODEGAS BILBANAS SA;;18X0000000006PZA;Active;;;;Production Unit;W
18W0000000007JE6;EPLXC01F;EPLXC01F;18W0000000007HRN;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000007JF4;EFIDC01F;EFIDC01F;18W0000000005JSN;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000007JG2;ELMOC01F;ELMOC01F;18W0000000007APB;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000007JH0;ELESC01F;ELESC01F;18W0000000004NIZ;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000007JIZ;PALOC01F;PALOC01F;18W0000000006HM0;10XES-REE------E;Active;;;;Generation Unit;W
18W0000000007JY3;IBECC01;IBERCOEN ENERGIA;;18X0000000007AK7;Active;;;;Production Unit;W
18W0000000007JZ1;GOIEV01;UP GOIENER REPRESENTACION VENTA;;18XGOIEN-12345-8;Active;;;;Production Unit;W
